ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-3528.686046511628,-2114.4767441860463,-569.8837209302326,648.4767441860465,-1650.4302325581396,936.2790697674419,2147.228104319587,2176.0096248483983,2010.6300654231243,4034.90115165214,2019.9171196457926,4520.264701906047,4063.275487343494,3040.573230456297,2110.3644069763304,4085.7203700033688,2590.2251563262057,4605.4759191489065,13544.0,6213.046511627907,2219.0,11307.0,5771.116279069767,163.0,36958.30138846315,38994.49257539917,8703105352.359789,10626176781.290024,2.0080100888923393,2.236725255787982,31.542553897398157,-4.69213134035324,-0.05535255939054403,-0.055374987997271745
-2933.402298850575,-1188.471264367816,-359.2413793103448,-177.77011494252875,-1673.4022988505747,361.2413793103448,2131.894935243922,1805.5555157336232,2363.271499021166,4505.115207144824,2049.2490551196497,4168.3198787636875,3606.2290681477825,2129.3664078430875,2390.472636381215,4511.872195956317,2635.063405200203,4176.842664462974,9637.0,4490.862068965517,48.0,12653.0,6008.689655172414,484.0,3698.094235765331,4989.2945366195145,425942990.78632015,518088865.18972,1.838925377033282,2.1061710999087757,12.728934141238378,12.004612694956057,-0.05581297459630414,-0.05562756616989399
-3058.9883720930234,-1951.546511627907,-756.8604651162791,-367.8488372093023,-1063.3953488372092,100.30232558139535,1811.5561175952885,2104.44539618939,1660.3297596581817,3493.7777878014413,1402.8908946040958,3907.6042098601356,3548.7935994684035,2861.518671029627,1812.7603197180222,3521.1873839691143,1732.2105382537104,3907.645145275521,13481.0,5767.395348837209,1930.0,10473.0,5472.825581395349,218.0,4610.47316907548,4699.515436441532,130902085.45525907,199399119.90753657,2.2057136122093595,2.5049728605452826,48.05716013590491,-35.07405680414485,-0.0555656710326068,-0.055773834053878216
-2911.7011494252874,-1127.9655172413793,-606.3218390804598,-434.6896551724138,-1673.3793103448277,-74.33333333333333,2051.5497785544694,1582.597398190212,1998.870428440345,4064.984164899371,1838.6058877084358,4131.125703396948,3548.040096833128,1922.6041935503706,2081.088071951399,4093.122990589454,2459.279793648595,4132.972138927315,9205.0,4645.9885057471265,661.0,11505.0,5913.045977011494,227.0,3981.782602663453,3532.9933215447763,99654639.14882146,108103208.41251117,2.0606693581197866,2.68890643855224,12.230016142992215,-25.683462490481652,-0.055961920050571275,-0.05590227534220825
-2593.3953488372094,-1526.9767441860465,-1438.2790697674418,-491.77906976744185,-1150.906976744186,393.83720930232556,1832.8307489861606,1868.6821004612586,1194.5542518618406,3098.6579107953244,1595.8200680940574,4204.270406293123,3171.823336673997,2401.1194094848033,1845.7172173742183,3147.814865939952,1957.7211063459877,4216.236131465963,15737.0,5558.6511627906975,1488.0,11504.0,5116.686046511628,234.0,3162.566763966269,3381.299452292712,67652769.8670406,82869912.83466278,3.9436998287192613,2.4457847129662533,85.12964555511198,21.968740021270047,-0.05592046725915457,-0.05588758815893629
-2976.8045977011493,-855.9080459770115,-374.2413793103448,-827.1379310344828,-1276.1149425287356,-838.0344827586207,1760.2442731431702,1571.2987227812794,1572.8688875994774,3553.3314785273574,1842.8243209765374,3944.9289830010534,3462.978705860228,1784.6154742141507,1611.8599772334123,3648.7601972466614,2238.3313468722195,4034.509870672239,8682.0,4206.954022988506,823.0,10087.0,5675.954022988506,228.0,3329.2260077468713,3195.556406740849,62360295.46877616,77700412.42493835,2.539857394064951,2.6122780003502677,38.27761875721324,-34.17529274714404,-0.05632528983430409,-0.05600612551140715
-3328.1627906976746,-2087.267441860465,-554.1511627906976,-509.5,-1218.4186046511627,265.69767441860466,1950.7966579213692,2275.3255830844323,1626.4116916314115,3296.273610034413,1802.4371658230314,4254.956761814156,3866.443651681466,3090.297443725713,1713.0087870910536,3334.942782187592,2170.353572095334,4265.26851849725,12236.0,5969.581395348837,1916.0,11311.0,5129.03488372093,145.0,3003.135601663401,2889.4101377808415,46456085.565215915,41909080.98884585,1.7840642866581784,2.952658858933967,39.094565557585504,-18.18038326711161,-0.05655472583776865,-0.05658383104944916
-3017.9655172413795,-1190.1494252873563,-481.735632183908,-478.2528735632184,-1226.1954022988505,-419.8965517241379,1912.3647968203977,1615.414505745884,1896.7108356774327,4178.745449735088,1944.888710986066,4193.029417907894,3584.1137845623225,2001.6757318887053,1947.8727300349458,4205.585172562573,2305.32768508778,4212.8960784496085,10052.0,4689.850574712644,488.0,11911.0,6223.172413793103,16.0,4719.096544606295,3644.395768658325,55217907.24220956,34680738.37295587,2.5371081574817946,3.1844375689662967,24.65338063018246,-10.474855371873705,-0.05687621414970228,-0.05594631564531466
-3424.0232558139537,-1985.4651162790697,-787.2790697674419,-309.59302325581393,-1187.6744186046512,-343.1511627906977,1963.9061059712228,2214.4614482074394,1760.8528038950815,3037.300363069993,1683.8054537953303,4547.33190023584,3960.6224669338776,2968.0903382164693,1916.923492061852,3054.344003333232,2063.218410469993,4563.03518810747,14131.0,6196.767441860465,990.0,11560.0,5134.53488372093,295.0,2402.192165632049,2832.572309617022,9224324.377630668,22263011.675851226,2.3952846175245113,2.426648301838357,48.72203087573529,1.4034878275863947,-0.05698785194146294,-0.05652145171860923
-2857.2413793103447,-1147.7241379310344,-484.28735632183907,-255.2183908045977,-1430.942528735632,-277.4597701149425,2068.2295688508625,1230.4955840632542,1930.8209653717793,3748.581039980027,1866.4544189080432,4107.014873567123,3501.6568393675666,1682.7900067734392,1984.2911499616412,3757.7210200290037,2361.488226453429,4112.324592213526,8558.0,4489.252873563219,977.0,10386.0,5942.701149425287,99.0,4478.717332289687,3466.6787313605,31176579.030826684,26773171.740394514,1.9390417829424986,3.5645376572248573,11.292224429250039,-57.28459084998461,-0.056833445812518577,-0.055630046916139986
